5948,2
5953,2
6006,2
6010,2
6011,2
6012,2
6017,2
6018,2
6019,2
6020,2
6021,2
6023,2
6024,2
6025,2
6026,2
6027,2
6028,2
6038,2
6041,2
6049,2
6064,2
6066,2
6073,2
6074,2
39790,3
39791,3
39792,3
39794,3
39796,3
39797,3
39801,3
39804,3
39806,3
39809,3
39812,3
39815,3
39821,3
39822,3
39823,3
39824,3
39828,3
39831,3
39834,3
39837,3
39840,3
39842,3
39844,3
39846,3
40077,3
40078,3
40079,3
40080,3
40081,3
40082,3
40084,3
40085,3
40087,3
40088,3
40089,3
40090,3
40163,3
40164,3
40165,3
40166,3
40167,3
40169,3
40186,3
40187,3
40188,3
40189,3
40190,3
40191,3
41359,3
41360,3
41362,3
41363,3
41390,3
41392,3
41393,3
41394,3
41395,3
41396,3
41397,3
41398,3
41399,3
41400,3
41401,3
41402,3
41404,3
41405,3
41407,3
41410,3
41411,3
41413,3
41415,3
41416,3
34038,3
34040,3
34041,3
34042,3
34043,3
34044,3
34045,3
34046,3
34047,3
34048,3
34049,3
34050,3
34051,3
34052,3
34053,3
34054,3
34055,3
34056,3
34057,3
34058,3
34059,3
34060,3
34061,3
34062,3
34063,3
34064,3
33917,3
33919,3
33922,3
33924,3
33926,3
33928,3
33929,3
33930,3
33931,3
33932,3
33933,3
33934,3
33935,3
33936,3
33937,3
33938,3
33939,3
33940,3
33941,3
33942,3
33943,3
33944,3
33945,3
33946,3
33947,3
33948,3
33949,3
33950,3
33951,3
33952,3
33953,3
33954,3
33955,3
33956,3
33957,3
33958,3
33959,3
33960,3
33961,3
33962,3
33963,3
33964,3
33965,3
33966,3
33967,3
33968,3
33969,3
33971,3
33972,3
33973,3
33974,3
33982,3
33983,3
33984,3
33985,3
33986,3
33987,3
33988,3
33989,3
33990,3
33991,3
33992,3
33993,3
33994,3
33995,3
33996,3
33997,3
33998,3
33999,3
34000,3
34002,3
34003,3
34004,3
34005,3
34006,3
34007,3
42044,3
42046,3
42047,3
42048,3
42049,3
42050,3
42051,3
42052,3
42053,3
42054,3
42055,3
42057,3
42058,3
42061,3
42240,3
42241,3
42242,3
42244,3
42245,3
42246,3
42269,3
42249,3
42251,3
42253,3
42254,3
41857,3
41858,3
41860,3
41861,3
41862,3
41863,3
41864,3
41865,3
41866,3
41867,3
41868,3
41869,3
41870,3
41871,3
41956,3
41958,3
41959,3
41960,3
41961,3
41962,3
41963,3
41965,3
41969,3
41970,3
41972,3
6229,2
6236,2
6434,2
6848,2
13192,3
13193,3
13194,3
13195,3
13196,3
13197,3
13198,3
13199,3
13200,3
13201,3
13202,3
13203,3
13204,3
13205,3
13206,3
13207,3
13208,3
13209,3
13210,3
13211,3
13212,3
13213,3
13214,3
13215,3
